[ja-JP]
aberdeen;アバディーン
phoenix;フェニックス
san_simon;サン　シモン
show_low;ショー　ロー
sierra_vista;シエラビスタ
tucson;ツーソン
yuma;ユマ
alamogordo;アラモゴード
albuquerque;アルバカーキ
artesia;アストリア
carlsbad_nm;カールズバッド（NM)
clovis;クローヴィス
farmington;ファーミントン
gallup;ギャラップ
hobbs;ホッブズ
las_cruces;ラスクルーセス
raton;ラトン
roswell;ロズウェル
santa_fe;サンタフェ
socorro;ソコーロ
tucumcari;トゥクカムリ
astoria;アストリア
bend;ベンド
burns;バーンズ
coos_bay;クーズベイ
eugene;ユージーン
klamath_f;クラマスフォールズ
lakeview;レイクビュー
medford;メドフォード
newport;ニューポート
ontario;オンタリオ
pendleton;ペンドルトン
portland;ポートランド
salem;セイラム
the_dalles;ダレス
aarhus;オーフス
aberystwyth;アベリストウィス
akranes;アクラネース
akureyri;アークレイリ
alajarvi;アラヤーヴィ
alexandroup;アレクサンドルポリス
andorra;アンドラ・ラ・ベリャ
antwerp;アントウェルペン
arad;アラド
are;オーレ
arnhem;アーネム
augustow;アウグストゥフ
aurach;アウラハ
bacau;バカウ
bado;バート・エーンハウゼン
balti;バルティ
balvi;バルビ
barcelona;バルセロナ
basel;バーセル
bayonne;バイヨンヌ
belfast;ベルファスト
beograd;ベオグラード
bilbao;ビルバオ
birsay;ビルセー
bitola;ビトラ
blonduos;ブリョンドゥオゥス
bobolice;ボボリツェ
bolungarvik;ボルンガルヴィーク
bonn;ボン
borgarnes;ボルガルーネス
bremerhaven;ブレーマーハーフェン
broadford;ブロードフォード
bucuresti;ブカレスト
burg;ブルク・アウフ・フェーマルン
bydgoszcz;ビドゴシュチ
cairnryan;ケルンリーン
canterbury;カンタベリー
chelmsford;チェルムズフォード
chisinau;キシナウ
cieszyn;チェシン
cluj;クルジュ＝ナポカ
constanta;コンスタンツァ
craiova;クラヨバ
croydon;クロイドン
dombas;ドンボス
donostia;ドノスティア
douglas;ダグラス
drammen;ドラメン
dublin;ダブリン
dumfries;ダンフリース
eindhoven;アイントホーフェン
elblag;エルブロング
elk;エウク
evie;エヴィー
fishguard;フィッシュガード
flensburg;フレンスブルグ
folkestone;フォークストーン
forst;フォルスト
fraserburgh;フレーザーバーグ
ftwilliam;フォート・ウィリアム
furth;フュルト
galway;ゴールウェイ
gavle;イェブレ
gdynia;グディニャ
gorzow;ゴジェフ・ヴィエルコポルスキ
groedig;グレーディヒ
grudziadz;グルジョンツ
grumantbyen;グルマント
gusev;グセフ
gyor;ジェール
hainburg;ハインブルグ
halle;ハレ（ザーレ）
hamar;ハーマル
hammerfest;ハンメルフェスト
haparanda;ハパランダ
hawes;ハウス
heilbronn;ハイルブロン
herning;ヘルニング
hiorthhamn;ヒオルットハム
hofn;ヘプン
holmavik;ホールマビーク
holstebro;ホルスタブロ
holyhead;ホーリーヘッド
honningsvag;ホニングスヴォーグ
huesca;ウエスカ
hull;ハル
inverness;インヴァネス
ioannina;イオアニナ
irun;イルン
isafjordur;イサフィヨルド
ivalo;イヴァロ
jaca;ハカ
jekabpils;ジェカビル
joensuu;ヨエンスー
jonquera;ラ・ジョンケラ
jyvaskyla;ユヴァスキュラ
kalix;カーリスク
kandalaksha;カンダラクシャ
karlstad;カールスタード
karsamaki;カルサマキ
kavala;カバラ
keflavik;ケプラビーク
kemi;ケミ
kemijarvi;ケミヤルビ
kielce;キェルツェ
kirkenes;キルケネス
kirkwall;カークウォール
kittila;キッティラ
klaksvik;クラクスヴィーク
koblenz;コブレンツ
kokkola;コッコラ
kolding;コレング
kolka;コルカ
koszalin;コシャリン
krafla;クラプラ
kragujevac;クラグイェヴァク
kristianstad;クリスチャンスタッド
kristiinank;クアグア（クリスチーネスタッド）
krosno;クロスノ
kuopio;クオピオ
larnaka;ラルナカ
larne;ラーン
lefkosia;ニコシア
lemesos;リマソール
leskovac;レスコヴァツ
lillehammer;リレハンメル
limerick;リムリック
lisburn;リスバーン
ljubljana;リュブリャナ
ljugarn;ユガーン
lleida;リェイダ
londonderry;ロンドンデリー
longyearbyen;ロングイェールビーン
mainz;マインツ
manresa;マンレサ
maribor;マリボル
mariehamn;マリエハムン
mikkeli;ミッケリ
mlada;ムラダー・ポレスラフ
moerdijk;ムールデイク
montana;モンタナ
mukacheve;ムカチェボ
murmansk;ムルマンスク
narbonne;ナルボンヌ
nikel;ニケリ
nis;ニーシ
novisad;ノービサード
nowogard;ノボガルト
oban;オーバン
oberhausen;オーバーハウゼン
obsteig;オブシュタイク
ohrid;オフリド
olomouc;オロモウツ
opole;オポーレ
oppdal;オプダル
oradea;オラデア
orkanger;オルカンガール
orleans;オルレアン
ornskoldsvik;エルンシェルツビク
osijek;オシエク
ostersund;エステルスンド
ostroleka;オストロウェンカ
ostrowm;オストロマゾウィッカ
otta;オタ
oulu;オウル
padborg;パドボグ
pafos;パポス
pamplona;パンプローナ
pau;スティック
perpignan;ペルビニャン
perth;パース
piatra;ピアトラニアムツ
pila;ピワ
pleven;プレヴァン
ploce;プレート
plock;プロック
porthmadog;ポルスマドゲ
portree;ポートレート
portsmouth;ポーツマス
prilep;プリレブ
przemysl;プシェミシル
ptolemaida;プトレマイス
radom;ラドム
ramsey;ラムゼー
reutte;ロイテ
reydar;レイザルフィヨルズル
reykjavik;レイキャビク
rijeka;リエカ
ronne;ロンネ
rovaniemi;ロヴァニエミ
ruse;ルース
rzeszow;ジェシェフ
sangerhausen;サンガーハウゼン
sanok;サノク
selfoss;セルフォス
senj;センジ
seydis;セイジスフィヨルズル
sibenik;シベニク（クロアチア）
sibenik2;不明　（シベニク２）
sibiu;シビウ
siedlce;シェドルツェ
skelleftea;シュレフテオ
skopje;スコピエ
slbrod;スラヴォンスキ・ブロッド
sligo;スライゴー
sodankyla;ソダンキュラ
soderhamn;セーデルハムン
soria;ソリア
split;スプリット
sthelier;セイントヘリエ
stornoway;ストーノーウェイ
stranraer;ストランラー
subotica;スボティッツア
sundsvall;スンズヴァル
suwalki;ウヴァウキ
swinoujscie;シチェ
tanabru;タナブルー
teruel;テルエル
thessaloniki;テッサロニキ
thurso;サーソー
timisoara;ティミショアラ
tornio;トルニオ
torshavn;トースハウン
trieste;トリエステ
trinity;トリニティ
trnava;トルナバ
trondheim;トロンハイム
uelzen;ユルツェン
ukmerge;ウクメルゲ
ullapool;ウラプール
ulm;ウルム
umea;ウメオ
utsjoki;ウツヨキ
uzhhorod;ウジホロド
vaasa;ヴァーサ
vaduz;ファドゥーツ
valencia;バレンシア
vantaa;ヴァンター
varkaus;バルカウス
vasaros;ウァシャロシュナメニ
verkhnetulom;ヴェルフネトゥロムスキー
vestmann;ウエストマン
viborg;ビボル
vidin;ヴィディン
viitasaari;ヴィータサーリ
vik;ヴィク
vinaros;ヴィナロス
visby;ヴィスビー
vranje;ヴラニェ
walcz;バウチュ
wexford;ウェックスフォード
wick;ウィック
wiesbaden;ヴィースバーデン
ystad;イスタード
zadar;ザダル
zagreb;ザグレブ
zamosc;ザモシチ
zaragoza;サラゴザ
zgorzelec;ズゴジェレツ
zrenjanin;ズレニャニン
zwolle;ズウォレ
