[ja-JP]
acetylene;アセチレン
post_packag;郵便小包
pot_flowers;鉢植え
potahydro;水酸化カリウム
potassium;カリウム
potatoes;ポテト
precast_strs;成型済みの階段
princess;ヨット - クイーンV39
propane;プロパン
protec_cloth;防護服
radiators;ラジエーター
rawmilk;生乳
re_bars;鋼棒
refl_posts;反射板ポスト
rice;米
rice_c;米
roadroller;ロードローラー
roller;ロードローラー - DYNA CC-2200
roof_tiles;屋根瓦
roofing_felt;屋根用フェルト
rooflights;天窓
rye;ライムギ
salm_fillet;サケの切り身
salt_spice_c;塩&香辛料
salt_spices;塩&香辛料
sand;砂
sandwch_pnls;サンドイッチパネル
sausages;ソーセージ
sawpanels;おがくずパネル
scaffoldings;足場材
scania_tr;トラック - Scania
scooters;スクーター
scrap_cars;スクラップ自動車
scrap_metals;屑鉄
sheep_wool;羊毛
shock_absorb;ショックアブソーバー
silica;二酸化ケイ素
silo;巨大サイロ (特殊)
smokd_eel;ウナギの燻製
smokd_sprats;スプラットの燻製
sodchlor;次亜塩素酸ナトリウム
sodhydro;水酸化ナトリウム
sodium;ナトリウム
soil;掘削土
solvents;溶剤
soy_milk;豆乳
sq_tub;角型鋼管
steel_cord;スチールコード
stone_dust;石粉
stone_wool;ロックウール
stones;石
straw_bales;藁のペール
sugar;砂糖
sulfuric;硫酸
tableware;食器
terex3160;オールテレーンクレーン
tomatoes;トマト
toys;おもちゃ
tracks;無限軌道
tractor;トラクター - RS-666
tractors;トラクター
train_part;鉄道の輪軸
train_part2;鉄道の台車
transformat;トランス - PK900
transformer;トランス
transmis;変速機
truck_batt;トラック用バッテリー
truck_batt_c;トラック用バッテリー
truck_rims;トラック用ホイール
truck_rims_c;トラック用ホイール
truck_tyres;トラック用タイヤ
tube;ガスパイプラインパーツ
tvs;テレビ
tyres;タイヤ
used_battery;使用済み自動車用バッテリー
used_pack;使用済み梱包材
used_packag;使用済み梱包材
used_plast;使用済みプラスチック
used_plast_c;使用済みプラスチック
vegetable;野菜
vent_tube;換気シャフト
ventilation;換気シャフト
vinegar;西洋酢
vinegar_c;西洋酢
volvo_cars;高級SUV
volvo_tr;トラック - Volvo
wallpanels;壁パネル
watermelons;スイカ
wheat;小麦
windml_eng;風力タービン　ナセル
windml_tube;風力タービン　タワー
wirtgen250;旋盤
wood_bark;木の樹皮
wooden_beams;木の梁
wrk_cloth;作業着
wshavings;木くず
yacht;ヨット
yogurt;ヨーグルト
young_seed;稚苗
