[zh-CN]
acetylene;乙炔
ext_crn_pr;外部角形材
ext_fil;外部过滤器
fertilizer;肥料
fireworks;烟花
fish_chips;鱼柳
fl_furn;自组装家具
floorpanels;地板
flour;面粉
fluorine;氟
food;包装食品
forklifts;叉车
forwarder;伐木运输车
frac_tank;压裂罐
fresh_fish;鲜鱼
froz_octopi;冷冻章鱼
frozen_food;冷冻食品
frozen_fruit;冷冻水果
frozen_hake;冷冻鳕鱼
frozen_veget;冷冻蔬菜
frsh_herbs;新鲜香料
fruits;水果
fuel_oil;燃油
fuel_tanks;油罐
fueltanker;油罐车
furniture;家具
garlic;大蒜
gates;闸板
generator_c;发电机
glass;玻璃板
glass_packed;已包装玻璃
gnocchi;团子
goat_cheese;山羊奶酪
grain;粮食
granite_cube;花岗岩块
grapes;葡萄
graph_grease;石墨润滑脂
grass_rolls;草卷
gravel;碎石
guard_rails;护栏
gummy_bears;小熊软糖
gypsum;石膏
hardware;硬件
harvest_bins;蔬果周转箱
harvester;联合收割机
hay;干草
hchemicals;热化工产品
heat_exch;换热器（特种运输）
heat_exchanger;换热器（特种运输）
helicopter;直升机 - Ring-429
hi_volt_cabl;高压电缆
hipresstank;压力罐
hmetal;重金属
home_acc;家居饰品
honey;蜂蜜
house_pref;房屋预制件
househd_appl;家用电器
hwaste;医疗废物
hydrochlor;盐酸
hydrogen;氢
ibc_cont;IBC中型散装容器
icecream;冰淇淋
iced_coffee;罐装冰咖啡
iron_pipes;铁管（大）
iveco_vans;布雷科货车
junk;垃圾
kalmar240;集装箱叉车
kalmar240_s;集装箱叉车车体
kb_loader;关节式起重机
kerosene;煤油
ketchup;番茄酱
komatsu155;推土机（重型）
kw_t680;肯沃斯卡车
lamb_stom;羔羊腹
largetubes;大型管道
lattice;建筑楼梯（特种运输）
lavender;薰衣草
lead;铅
limestone;石灰石
limonades;柠檬汁
live_catt_fr;活牛（法国）
live_cattle;活牛
liver_paste;肝酱
locomotive;火车头 - Vossloh G6
log_harvest;伐木机
log_loader;原木装载机
logs;原木
lpg;液化石油气
lumber;木料
lumber_b;木料
lye;碱液
m_59_80_r63;巨型轮胎（特种运输）
machine_pts;机械零件
magnesium;镁
malt;麦芽
man_tr;卡车 曼
maple_syrup;枫糖
marb_blck;大理石块（大）
marb_blck2;大理石块
marb_slab;大理石板
mason_jars;梅森罐
mbt;移动屏障
meat;肉
med_equip;医疗设备
med_vaccine;医用疫苗
mercuric;氯化汞
metal_beams;金属梁
metal_cans;金属罐
metal_center;金属拱架
metal_pipes;铁管
michelin_59_80_r63;巨型轮胎（特种运输）
milk;奶
mobile_crane;移动式起重机 雷德45
mondeos;轿车
moor_buoy;船用系泊浮筒
mortar;砂浆
moto_tires;摩托车轮胎
motor_oil;机油
motor_oil_c;机油
motorcycles;摩托车
mozzarela;马苏里拉奶酪
mtl_coil;金属卷材
mulcher;悬臂割草机
mystery_box;巨型高科技部件（特种运输）
mystery_cyl;高科技设备（特种运输）
natur_rubber;天然橡胶
neon;氖
nitrocel;硝化棉
nitrogen;氮
nonalco_beer;无醇啤酒
nuts;坚果
nylon_cord;尼龙绳
office_suppl;办公用品
oil;油
oil_filt_c;机油滤清器
oil_filters;机油滤清器
olive_oil;橄榄油
olives;橄榄
onion;洋葱
oranges;橙子
ore;矿石
outdr_flr_tl;室外地砖
overweight;低平板半挂
packag_food;包装食品
paper;办公用纸
pasta;意大利面
pears;梨
peas;豌豆
pellet_afood;颗粒状动物饲料
perfor_frks;性能悬挂叉
pesticide;农药
pesto;香蒜酱
pet_food;宠物食品
pet_food_c;宠物食品
petrol;汽油
phosphor;白磷
pilot_boat;引航船（特种运输）
pipes;铁管
plant_substr;培养基
plast_film;塑料薄膜卷
plast_film_c;塑料薄膜卷
plastic;塑料
plastic_gra;塑料颗粒
plows;犁
plumb_suppl;水暖用品
plums;李子
pnut_butter;花生酱
polyst_box;聚苯乙烯盒
pork_meat;猪肉
post_packag;邮包
pot_flowers;盆栽花朵
potahydro;氢氧化钾
potassium;钾
potatoes;土豆
precast_strs;预制楼梯
press_sl_val;高压闸阀
princess;游艇 - 女王V39
propane;丙烷
prosciutto;意大利熏火腿
protec_cloth;防护服
pumps;泵
radiators;散热片
rawmilk;未加工的牛奶
re_bars;加固钢筋
refl_posts;反光柱
reindeer;驯鹿肉
rice;大米
rice_c;大米
roadroller;压路机
roller;压路机 DYNA CC-2200
roof_tiles;屋面瓦
roofing_felt;屋面毡
rooflights;屋顶天窗
rubber;橡皮
rye;黑麦
salm_fillet;三文鱼片
salt;食盐
salt_spice_c;食盐和调料
salt_spices;食盐和调料
sand;沙子
sandwch_pnls;夹芯板
sausages;香肠
sawpanels;木屑板
scaffoldings;脚手架
scania_tr;卡车 斯堪尼亚
scooters;滑板车
scrap_cars;报废车
scrap_metals;废金属
seafood;海鲜
seal_bearing;密封轴承
sheep_wool;羊毛
shock_absorb;减震器
silica;二氧化硅
silo;巨型筒仓（特种运输）
skir_bo;踢脚板
skir_tr;裙脚线槽
smokd_eel;熏鳗鱼
smokd_sprats;熏鲱鱼
soap;个人卫生用品
sodchlor;次氯酸钠
sodhydro;氢氧化钠
sodium;钠
soil;工程渣土
solvents;溶剂
soy_milk;豆浆
spher_valves;球阀
sq_tub;方形管件
steel_cord;钢丝绳
stone_dust;石粉
stone_wool;岩棉
stones;石头
straw_bales;秸秆捆
stumper;履带式挖根机
sugar;糖
sulfuric;硫酸
tableware;餐具
terex3160;全地形起重机
tomatoes;西红柿
toys;玩具
tracks;履带
tractor;拖拉机 RS-666
tractors;拖拉机
train_part;火车车轴
train_part2;火车转向架
trans_pr;过渡材料
transformat;变压器 PK900
transformer;变压器
transmis;变速器
transmission;变速箱
truck_batt;卡车电池
truck_batt_c;卡车电池
truck_rims;卡车轮毂
truck_rims_c;卡车轮毂
truck_tyres;卡车轮胎
truckengines;卡车发动机
tub_grinder;木料桶磨机
tube;天然气管道部件
tvs;电视机
tyres;轮胎
used_battery;回收的汽车电池
used_pack;回收的包装
used_packag;回收的包装
used_plast;回收的塑料
used_plast_c;回收的塑料
vegetable;蔬菜
vent_tube;通风井
ventilation;通风井
vinegar;醋
vinegar_c;醋
volvo_cars;豪华SUV
volvo_tr;卡车 沃尔沃
wallpanels;墙板
water;水
watermelons;西瓜
wheat;小麦
windml_eng;风力发电机机舱
windml_tube;风力发电塔
windows;窗户
wirtgen250;铣刨机
wood_bark;树皮
wooden_beams;木梁
wrk_cloth;工作服
wshavings;刨花
yacht;游艇
yogurt;酸奶
young_seed;幼苗
